nomfichier|E_NUM_INTERNE|E_NUM_TICKET|E_DATE_TICKET|E_HEURE_TICKET|E_HT1|E_HT2|E_HT3|E_HT4|E_TVA1|E_TVA2|E_TVA3|E_TVA4|E_HT_NON_TAXABLE|E_TTC|E_MDP_CB|E_MDP_ESPECES|E_MDP_CHEQUES
EJ310123.TXT|004546|003591|2023-01-13|16:04|208.33||||41.67|||||250.00||250.00|
EJ310123.TXT|004547|003592|2023-01-14|15:12|747.50||||149.50|||||897.00||897.00|
EJ310123.TXT|004548|003593|2023-01-16|11:27|747.50||||149.50|||||897.00||897.00|
EJ310123.TXT|004549|003594|2023-01-16|11:27|747.50||||149.50|||||897.00||897.00|
EJ310123.TXT|004550|003595|2023-01-16|11:28|747.50||||149.50|||||897.00||897.00|
EJ310123.TXT|004551|003596|2023-01-16|11:28|747.50||||149.50|||||897.00||897.00|
EJ310123.TXT|004552|003597|2023-01-16|11:42|581.67||||116.33|||||698.00||698.00|
EJ310123.TXT|004553|003598|2023-01-16|11:44|581.67||||116.33|||||698.00||698.00|
EJ310123.TXT|004554|003599|2023-01-16|11:45|581.67||||116.33|||||698.00||698.00|
EJ310123.TXT|004555|003600|2023-01-16|12:07|350.00||||70.00|||||420.00|420.00||
EJ310123.TXT|004556|003601|2023-01-16|16:10|288.33||||57.67|||||346.00||346.00|
